business_age,education_years,age,female,nature_value,tourism_value,value_ha_cattle,value_ha_timber,d_compost,tourism_incomes,agro_incomes,otherjobs_incomes,pensions_incomes,leases_incomes,dividens_incomes,charity_incomes,other_incomes,food_expend,clean_expend,transport_expend,rent_expend,services_expend,recreation_expend,durables_expend,remittances_expend,health_expend,education_expend,taxes_expend,other_expend
2,16,67,0,4,4,.2,5.5,1,.029999999,0,0,0,.5,0,0,1,.30000001,.1,.30000001,0,.07,.30000001,.2,0,.14,0,.60000002,0
4.5,14,30,0,5,4,2.5,5.5,0,.079999998,0,.1,0,0,0,0,0,.60000002,.2,.050000001,0,.30000001,.0099999998,.025,0,.02,0,.041700002,0
4.5,15,46,1,5,5,.2,5.5,1,.40000001,0,.2,0,0,0,0,0,.30000001,.15000001,.0099999998,0,.15000001,0,.079999998,0,0,0,0,0
8,16,47,1,5,5,.2,5.5,0,.69999999,.40000001,.87699997,0,0,0,.1,0,1.5,.40000001,.2,0,.13500001,0,.17,1.5,.07,1.72,0,0
15,18,55,0,5,5,.2,5.5,1,.2,0,0,0,0,0,0,0,1.5,.2,.1,0,.5,1.5,1,2,.5,0,0,0
3.25,16,30,1,5,5,.2,5.5,1,.2,.2,1.2,0,0,0,0,0,.60000002,.2,.1,0,.2,.1,.1,0,.5,.2,0,0
3,3,45,0,5,5,.2,5.5,1,.2,0,0,0,0,0,0,1.2,.1,.0099999998,0,0,0,.050000001,.050000001,0,.1,0,0,0
5,16,44,1,5,5,.2,5.5,1,2,0,0,0,0,0,0,0,.5,.1,.1,0,0,.2,.25,0,.271,.092,0,0
3,5,40,1,5,5,.2,5.5,1,.30000001,0,0,0,0,0,.40000001,0,.5,.1,.15000001,0,.026000001,.079999998,.090000004,0,0,.1,.0099999998,0
.83333331,11,47,0,5,5,.2,5.5,1,.079999998,.40000001,1.2,0,0,0,0,0,.40000001,.1,.2,0,.039999999,.1,.167,0,.07,0,.050000001,0
15,5,52,0,5,5,.2,5.5,0,.2,0,0,0,0,0,0,0,.30000001,.050000001,0,0,0,0,.2,0,0,0,0,0
17,11,33,0,5,5,.2,5.5,1,.2,0,0,0,0,0,0,.30000001,.34999999,.079999998,.25999999,0,.28,.15000001,.1,0,.19,0,.045000002,0
2.6666667,11,59,1,5,5,.2,5.5,1,.2,0,0,0,0,0,0,0,.64999998,.30000001,.2,0,.024,.15000001,.12,0,0,0,0,.18099999
4.5,17,56,1,5,4,.2,5.5,1,1.5,0,0,0,0,0,0,0,.60000002,.1,.15000001,.5,.1,0,.050000001,0,.090000004,.2,0,.5
3.1666667,6,58,1,4,5,.2,5.5,1,.12,.12,0,0,0,0,0,0,.23999999,.079999998,.17,0,.105,.079999998,.041999999,0,.02,.025,.0015,0
5.9166665,16,54,0,5,5,.2,5.5,1,.2,0,0,0,0,0,0,0,.60000002,.1,.30000001,0,0,.89999998,.30000001,0,.30000001,1.5,.25,0
